Fund,Ticker,Date,Market Price,Shares Held,Weight,Market Value
arkk,TSLA,9/3/2020,$407.00,1886678,9.29%,$767877946.00
arkk,TSLA,9/4/2020,$418.32,1880510,9.89%,$786654943.20
arkk,TSLA,9/4/2020,$418.32,1880510,9.89%,$786654943.20
arkk,TSLA,9/4/2020,$418.32,1880510,9.89%,$786654943.20
arkk,TSLA,9/8/2020,$330.21,2050963,8.98%,$677248492.23
arkk,TSLA,9/10/2020,$371.34,2055477,9.76%,$763280829.18
arkk,TSLA,9/11/2020,$372.72,2066757,9.87%,$770321669.04
arkk,TSLA,9/14/2020,$419.62,2096085,10.65%,$879559187.70
arkk,TSLA,9/15/2020,$449.76,2100597,11.05%,$944764506.72
arkk,TSLA,9/16/2020,$441.76,2110749,10.87%,$932444478.24
arkk,TSLA,9/21/2020,$449.39,2033445,10.74%,$913809848.55
arkk,TSLA,9/22/2020,$424.23,2044275,10.02%,$867242783.25
arkk,TSLA,9/23/2020,$380.36,2196179,10.02%,$835338644.44
