Type,Date,Weight,Company,Ticker,Market Price,Shares Held,Market Value

arkk,8/14/2020,10.11%,TESLA INC,TSLA,$1650.71,422242,$696999091.82
arkw,8/14/2020,10.28%,TESLA INC,TSLA,$1650.71,123537,$203923761.27
arkq,8/14/2020,10.95%,TESLA INC,TSLA,$1650.71,32491,$53633218.61

arkk,8/18/2020,10.12%,TESLA INC,TSLA,$1887.09,389914,$735802810.26
arkw,8/18/2020,10.46%,TESLA INC,TSLA,$1887.09,114987,$216990817.83
arkq,8/18/2020,12.21%,TESLA INC,TSLA,$1887.09,32491,$61313441.19

arkk,8/19/2020,10.03%,TESLA INC,TSLA,$1878.53,396550,$744931071.50
arkw,8/19/2020,10.44%,TESLA INC,TSLA,$1878.53,117570,$220858772.10
arkq,8/19/2020,12.20%,TESLA INC,TSLA,$1878.53,33559,$63041588.27

arkk,8/21/2020,10.02%,TESLA INC,TSLA,$2049.98,371271,$761098124.58
arkw,8/21/2020,10.51%,TESLA INC,TSLA,$2049.98,111299,$228160724.02
arkq,8/21/2020,10.64%,TESLA INC,TSLA,$2049.98,27172,$55702056.56

arkk,8/24/2020,9.91%,TESLA INC,TSLA,$2014.20,370109,$745473547.80
arkw,8/24/2020,9.77%,TESLA INC,TSLA,$2014.20,105647,$212794187.40
arkq,8/24/2020,9.89%,TESLA INC,TSLA,$2014.20,25972,$52312802.40

arkk,8/25/2020,9.85%,TESLA INC,TSLA,$2023.34,374015,$756759510.10
arkw,8/25/2020,9.49%,TESLA INC,TSLA,$2023.34,104245,$210923078.30
arkq,8/25/2020,9.57%,TESLA INC,TSLA,$2023.34,25569,$51734780.46

arkk,9/3/2020,9.29%,TESLA INC,TSLA,$407.00,1886678,$767877946.00
arkw,9/3/2020,9.05%,TESLA INC,TSLA,$407.00,542635,$220852445.00
arkq,9/3/2020,9.11%,TESLA INC,TSLA,$407.00,135357,$55090299.00

arkk,9/4/2020,9.89%,TESLA INC,TSLA,$418.32,1880510,$786654943.20
arkw,9/4/2020,9.53%,TESLA INC,TSLA,$418.32,527204,$220539977.28
arkq,9/4/2020,9.50%,TESLA INC,TSLA,$418.32,135357,$56622540.24

arkk,9/4/2020,9.89%,TESLA INC,TSLA,$418.32,1880510,$786654943.20
arkw,9/4/2020,9.53%,TESLA INC,TSLA,$418.32,527204,$220539977.28
arkq,9/4/2020,9.50%,TESLA INC,TSLA,$418.32,135357,$56622540.24

arkk,9/4/2020,9.89%,TESLA INC,TSLA,$418.32,1880510,$786654943.20
arkw,9/4/2020,9.53%,TESLA INC,TSLA,$418.32,527204,$220539977.28
arkq,9/4/2020,9.50%,TESLA INC,TSLA,$418.32,135357,$56622540.24

arkk,9/8/2020,8.98%,TESLA INC,TSLA,$330.21,2050963,$677248492.23
arkw,9/8/2020,8.68%,TESLA INC,TSLA,$330.21,578811,$191129180.31
arkq,9/8/2020,8.57%,TESLA INC,TSLA,$330.21,147052,$48558040.92

arkk,9/10/2020,9.76%,TESLA INC,TSLA,$371.34,2055477,$763280829.18
arkw,9/10/2020,9.61%,TESLA INC,TSLA,$371.34,576199,$213965736.66
arkq,9/10/2020,9.32%,TESLA INC,TSLA,$371.34,152078,$56472644.52

arkk,9/11/2020,9.87%,TESLA INC,TSLA,$372.72,2066757,$770321669.04
arkw,9/11/2020,9.70%,TESLA INC,TSLA,$372.72,577502,$215246545.44
arkq,9/11/2020,9.38%,TESLA INC,TSLA,$372.72,152078,$56682512.16

arkk,9/14/2020,10.65%,TESLA INC,TSLA,$419.62,2096085,$879559187.70
arkw,9/14/2020,10.61%,TESLA INC,TSLA,$419.62,585320,$245611978.40
arkq,9/14/2020,10.30%,TESLA INC,TSLA,$419.62,152078,$63814970.36

arkk,9/15/2020,11.05%,TESLA INC,TSLA,$449.76,2100597,$944764506.72
arkw,9/15/2020,11.08%,TESLA INC,TSLA,$449.76,585320,$263253523.20
arkq,9/15/2020,10.89%,TESLA INC,TSLA,$449.76,155663,$70010990.88

arkk,9/16/2020,10.87%,TESLA INC,TSLA,$441.76,2110749,$932444478.24
arkw,9/16/2020,10.97%,TESLA INC,TSLA,$441.76,585320,$258570963.20
arkq,9/16/2020,10.77%,TESLA INC,TSLA,$441.76,157097,$69399170.72

arkk,9/21/2020,10.74%,TESLA INC,TSLA,$449.39,2033445,$913809848.55
arkw,9/21/2020,11.10%,TESLA INC,TSLA,$449.39,589229,$264793620.31
arkq,9/21/2020,11.43%,TESLA INC,TSLA,$449.39,159965,$71886671.35

arkk,9/22/2020,10.02%,TESLA INC,TSLA,$424.23,2044275,$867242783.25
arkw,9/22/2020,10.34%,TESLA INC,TSLA,$424.23,589229,$249968618.67
arkq,9/22/2020,10.84%,TESLA INC,TSLA,$424.23,159965,$67861951.95

arkk,9/23/2020,10.02%,TESLA INC,TSLA,$380.36,2196179,$835338644.44
arkw,9/23/2020,9.97%,TESLA INC,TSLA,$380.36,611419,$232559330.84
arkq,9/23/2020,10.04%,TESLA INC,TSLA,$380.36,159965,$60844287.40
